
Test set: Average loss: 7.548961, Accuracy: 9.910000 

Train Epoch: 1	[33400/50000 (67%)]	Loss: 0.385586	Accuracy: 35.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[33600/50000 (67%)]	Loss: 0.574283	Accuracy: 25.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[33800/50000 (68%)]	Loss: 0.285566	Accuracy: 30.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[34000/50000 (68%)]	Loss: 0.298719	Accuracy: 40.000000	Time 0.298 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[34200/50000 (68%)]	Loss: 0.334489	Accuracy: 50.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[34400/50000 (69%)]	Loss: 0.279894	Accuracy: 25.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[34600/50000 (69%)]	Loss: 0.346127	Accuracy: 30.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[34800/50000 (70%)]	Loss: 0.342933	Accuracy: 35.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[35000/50000 (70%)]	Loss: 0.376890	Accuracy: 25.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[35200/50000 (70%)]	Loss: 0.194799	Accuracy: 30.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[35400/50000 (71%)]	Loss: 0.248378	Accuracy: 45.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[35600/50000 (71%)]	Loss: 0.288681	Accuracy: 40.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[35800/50000 (72%)]	Loss: 0.301593	Accuracy: 30.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[36000/50000 (72%)]	Loss: 0.322290	Accuracy: 30.000000	Time 0.300 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[36200/50000 (72%)]	Loss: 0.271561	Accuracy: 25.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[36400/50000 (73%)]	Loss: 0.287982	Accuracy: 45.000000	Time 0.298 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[36600/50000 (73%)]	Loss: 0.396924	Accuracy: 15.000000	Time 0.300 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[36800/50000 (74%)]	Loss: 0.307256	Accuracy: 20.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[37000/50000 (74%)]	Loss: 0.277076	Accuracy: 45.000000	Time 0.298 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[37200/50000 (74%)]	Loss: 0.289838	Accuracy: 35.000000	Time 0.300 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[37400/50000 (75%)]	Loss: 0.299949	Accuracy: 35.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[37600/50000 (75%)]	Loss: 0.443034	Accuracy: 55.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[37800/50000 (76%)]	Loss: 0.213324	Accuracy: 50.000000	Time 0.298 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[38000/50000 (76%)]	Loss: 0.341802	Accuracy: 45.000000	Time 0.298 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[38200/50000 (76%)]	Loss: 0.236074	Accuracy: 50.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[38400/50000 (77%)]	Loss: 0.306901	Accuracy: 40.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[38600/50000 (77%)]	Loss: 0.209992	Accuracy: 50.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
